Year,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna"
28,1.611225E-05,0.0002227799,0.0001070104,0.000618668,1.535833E-05,0.0002835376,5.583145E-05,0.004813262,8.730874E-06,0.02018128,0.0008867563,0.006636689,0.003022172,0.001638778,0.002004747,0.00242352,5.854093E-07,1.083951E-05,0.0001438119,4.338469E-05,0.0007724822,0.002897774,1.227633E-09,0.0004806041,0.0001227966,0.001630745,0.002490896,3.016436E-08,7.822127E-05,0.01012827,0.004207893,0.001628425,0.0004945104,0.0002942888,0.01636206,0.0008890284,0.0005485517,0.001433269,0.0002412456,0.06387172,0.003194068,0.003308616,0.000103603,0.0007171535,0.1374957,1.676957E-05,0.0001215828,0.0002493105,0.002280555,0.2649487,0.4106656,0.06309759,0.0204465,8.304226E-08,0.00369783,0.0002399876,0.001145606,0.1100326,0.06097047,0.1006016,0.08808913,0.01150394,0.02312051
29,1.034736E-05,0.0002245337,7.176834E-05,0.0006201903,1.349793E-05,0.0002381229,5.620389E-05,0.004790389,8.940963E-06,0.02017473,0.0008872895,0.006588131,0.003145662,0.002033687,0.001550194,0.002647483,6.677937E-07,1.241786E-05,0.0001432385,4.657112E-05,0.0008941528,0.003583431,1.221827E-09,0.0004389447,8.269189E-05,0.001628816,0.002608098,3.302488E-08,5.499506E-05,0.006145189,0.004018231,0.001521576,0.0005250564,0.0002790284,0.01535322,0.0008620294,0.0005445381,0.001445401,0.0002502586,0.06638396,0.003185525,0.003281626,0.0001213803,0.000628461,0.1362495,1.699384E-05,0.0001236895,0.000236437,0.002111802,0.1673486,0.3068822,0.06164129,0.01223162,1.006558E-07,0.004016542,0.0002516734,0.001149648,0.1355543,0.06697872,0.09783429,0.07473021,0.01151254,0.02331804
30,1.239815E-05,0.0002399512,9.034735E-05,0.0006198684,1.649736E-05,0.0003433092,5.633883E-05,0.004766823,9.030035E-06,0.02019344,0.0008944438,0.00658994,0.003238712,0.002260757,0.001277517,0.002483423,7.834041E-07,1.166065E-05,0.0001421326,4.925083E-05,0.0004724136,0.002603882,1.208918E-09,0.0004398819,4.348427E-05,0.001624651,0.002546951,2.906735E-08,4.932594E-05,0.007133239,0.005009956,0.0008823828,0.000531665,0.0002708811,0.01474672,0.0009457096,0.0005447054,0.001453646,0.0002648059,0.06848511,0.003253158,0.003332466,0.0001537072,0.0004685535,0.133886,1.738849E-05,0.0001271177,0.0002442375,0.002027708,0.2123426,0.3779816,0.09279414,0.02024865,1.148442E-07,0.004240865,0.0002410175,0.001149496,0.1018203,0.06796148,0.1607013,0.09147228,0.01185428,0.02434511
31,1.8538E-05,0.000263946,0.0001068854,0.0006201562,1.833287E-05,0.0003102119,5.635072E-05,0.004779835,9.031007E-06,0.02039283,0.0008754076,0.006521829,0.002781465,0.002071622,0.001529825,0.001864344,4.198658E-07,1.046334E-05,0.0001417599,3.751119E-05,0.000406769,0.002034155,1.200589E-09,0.0004383319,2.280971E-05,0.001624451,0.002415942,3.811064E-08,2.202966E-05,0.005142997,0.003092114,0.0007916727,0.0004811345,0.0002406804,0.01426583,0.0009036911,0.0005280892,0.001395033,0.0002263849,0.0634904,0.003202452,0.003042202,0.0001173492,0.0004156043,0.1369455,1.740981E-05,0.0001088967,0.0002388106,0.001613356,0.3067104,0.3622607,0.09837363,0.02685712,6.546045E-08,0.002905424,0.0002135772,0.001162661,0.09820678,0.04760338,0.1186333,0.07160176,0.011779,0.02491521
32,1.198618E-05,0.0002967973,8.179722E-05,0.0006205401,1.531723E-05,0.0002898085,5.636273E-05,0.004814443,9.128537E-06,0.0203624,0.0008612056,0.006424578,0.002672306,0.001684454,0.001765063,0.002223462,4.292025E-07,7.555594E-06,0.0001417448,3.676171E-05,0.000226995,0.003069916,1.194659E-09,0.0004252933,2.419374E-05,0.001626281,0.002453984,3.564915E-08,2.212916E-05,0.008318711,0.004912046,0.0005993642,0.0004690041,0.0002331027,0.01373615,0.0007990685,0.0005186615,0.001348261,0.0002012994,0.05998127,0.003244216,0.002884781,0.0001261432,0.0007004496,0.1424381,1.752279E-05,0.0001012646,0.0002343652,0.0005264474,0.2096881,0.4383593,0.08623195,0.02850861,7.92486E-08,0.00315736,0.0001997003,0.001157587,0.09427095,0.0676287,0.0852131,0.09084009,0.01215026,0.02497284
33,1.891376E-05,0.0003375847,9.936628E-05,0.0006200467,1.948129E-05,0.0002958354,5.617375E-05,0.00482196,9.384414E-06,0.02027872,0.000867266,0.006381763,0.002606316,0.001821596,0.00156548,0.003143149,7.785567E-07,7.282897E-06,0.0001409157,5.369926E-05,0.0003416504,0.003922918,1.180691E-09,0.0004218609,1.583923E-05,0.001625339,0.002691774,2.734133E-08,1.92471E-05,0.009381304,0.003729129,0.001023669,0.000529753,0.0002346692,0.0128696,0.0007674452,0.0005124683,0.00138414,0.0002119776,0.06414694,0.003286383,0.003022603,0.0001325226,0.0003954173,0.1471954,1.82334E-05,0.0001147363,0.0002224369,0.0009663964,0.07285476,0.4637392,0.1049393,0.02568403,1.154986E-07,0.004544313,0.0002245704,0.001153828,0.1294527,0.06497128,0.188641,0.08412892,0.01193221,0.02548357
34,2.069719E-05,0.0003759091,9.915117E-05,0.0006202767,1.717203E-05,0.0002998765,5.588581E-05,0.004767382,9.595891E-06,0.02038091,0.000887495,0.00644191,0.002559159,0.0021064,0.001815297,0.002464897,8.477362E-07,7.721306E-06,0.0001396979,5.422813E-05,0.0004160921,0.003730944,1.172968E-09,0.0004166481,5.365916E-05,0.001626016,0.002718396,2.661096E-08,1.98172E-05,0.01190049,0.003809274,0.001176076,0.0005422209,0.0002295964,0.01170098,0.0007981078,0.0005047297,0.001366619,0.0002160098,0.06816135,0.003315631,0.003134985,0.0001312653,0.0007271262,0.1436453,1.930089E-05,0.0001277597,0.0002282647,0.002818155,0.1325815,0.2290118,0.09284046,0.02388472,1.155156E-07,0.005013917,0.0002585023,0.001154298,0.1389763,0.0654956,0.1159801,0.07649186,0.01181177,0.02602625
35,1.115111E-05,0.0004025471,9.388744E-05,0.0006214979,1.45192E-05,0.0003087661,5.530684E-05,0.004735445,9.621107E-06,0.02052135,0.000892923,0.006535869,0.002537119,0.001982773,0.001831606,0.002315547,5.87971E-07,7.465065E-06,0.0001392654,3.878316E-05,0.000312985,0.003108419,1.171024E-09,0.0004093808,3.129214E-05,0.00162586,0.002697587,2.879039E-08,1.947643E-05,0.007323733,0.003879378,0.0008723247,0.0005255757,0.000217968,0.01065348,0.0007884143,0.0005172477,0.001310707,0.0002129492,0.06754675,0.003335152,0.003098678,0.0001408371,0.0005741991,0.1363135,1.990261E-05,0.0001242983,0.000261475,0.001223621,0.1567469,0.2915967,0.03132221,0.02015861,8.224652E-08,0.004017481,0.0002541163,0.001153751,0.1197362,0.07074768,0.1394041,0.0803366,0.01210106,0.02630835
36,1.152662E-05,0.0003874664,0.0001050532,0.0006297336,1.69115E-05,0.0003138667,5.529495E-05,0.004751804,9.629611E-06,0.02056683,0.0008811497,0.006526882,0.002382451,0.002175407,0.001731654,0.002218717,4.955069E-07,8.77078E-06,0.0001396613,3.534887E-05,0.0003367006,0.003197184,1.166502E-09,0.0004048236,3.281975E-05,0.001619391,0.002600666,2.737678E-08,2.539833E-05,0.01013645,0.003995612,0.0009826147,0.0005277867,0.00023015,0.01024134,0.0008010285,0.0005297495,0.001340064,0.0002245835,0.06656738,0.003340974,0.003189702,0.0001456916,0.0005484305,0.1181792,1.971697E-05,0.000123879,0.0002807656,0.001530222,0.1488915,0.3687952,0.05586313,0.01029101,8.510946E-08,0.003893496,0.0002023908,0.001156508,0.1173125,0.06439795,0.1370276,0.08541572,0.011499,0.02697759
37,6.787608E-06,0.0003966939,0.0001073485,0.0006310668,1.692066E-05,0.000309396,5.482003E-05,0.004759716,9.70254E-06,0.0205426,0.0008689542,0.006480587,0.002342692,0.002079424,0.001778138,0.00239311,4.869234E-07,9.665645E-06,0.0001403389,4.028799E-05,0.0005140422,0.003265755,1.155618E-09,0.0004007117,3.566377E-05,0.001618898,0.002786422,2.841975E-08,3.241248E-05,0.01044666,0.003878634,0.001022827,0.0005558723,0.0002654725,0.0109195,0.0008061997,0.0005181174,0.001446637,0.0002348437,0.06557646,0.00349881,0.003395914,0.000145602,0.0006002113,0.1038836,1.874075E-05,0.0001246754,0.0002577676,0.001469587,0.18997,0.343926,0.1345435,0.01892961,9.322559E-08,0.004303191,0.0002288347,0.001172165,0.1381152,0.06661437,0.1067589,0.08942578,0.01118242,0.02695024
